er,time
,2019-01-01
"1,106.91",2018-12-31
,2018-12-30
,2018-12-29
"1,110.08",2018-12-28
"1,114.34",2018-12-27
"1,113.94",2018-12-26
,2018-12-25
"1,112.66",2018-12-24
,2018-12-23
,2018-12-22
"1,117.61",2018-12-21
"1,113.84",2018-12-20
"1,118.60",2018-12-19
"1,120.28",2018-12-18
"1,117.90",2018-12-17
,2018-12-16
,2018-12-15
"1,112.76",2018-12-14
"1,116.32",2018-12-13
"1,118.10",2018-12-12
"1,113.45",2018-12-11
"1,107.01",2018-12-10
,2018-12-09
,2018-12-08
"1,106.62",2018-12-07
"1,102.46",2018-12-06
"1,098.70",2018-12-05
"1,102.56",2018-12-04
"1,109.09",2018-12-03
,2018-12-02
,2018-12-01
"1,110.58",2018-11-30
"1,117.61",2018-11-29
"1,118.40",2018-11-28
"1,118.60",2018-11-27
"1,119.19",2018-11-26
,2018-11-25
,2018-11-24
"1,117.71",2018-11-23
"1,119.98",2018-11-22
"1,116.22",2018-11-21
"1,116.12",2018-11-20
"1,117.41",2018-11-19
,2018-11-18
,2018-11-17
"1,118.99",2018-11-16
"1,121.07",2018-11-15
"1,124.34",2018-11-14
"1,120.68",2018-11-13
"1,114.44",2018-11-12
,2018-11-11
,2018-11-10
"1,107.21",2018-11-09
"1,109.69",2018-11-08
"1,111.27",2018-11-07
"1,111.47",2018-11-06
"1,114.24",2018-11-05
,2018-11-04
,2018-11-03
"1,127.41",2018-11-02
"1,127.80",2018-11-01
"1,129.19",2018-10-31
"1,127.21",2018-10-30
"1,129.19",2018-10-29
,2018-10-28
,2018-10-27
"1,127.11",2018-10-26
"1,120.87",2018-10-25
"1,124.44",2018-10-24
"1,119.59",2018-10-23
"1,122.95",2018-10-22
,2018-10-21
,2018-10-20
"1,121.27",2018-10-19
"1,113.75",2018-10-18
"1,116.81",2018-10-17
"1,122.06",2018-10-16
"1,121.96",2018-10-15
,2018-10-14
,2018-10-13
"1,131.07",2018-10-12
"1,121.17",2018-10-11
"1,120.38",2018-10-10
,2018-10-09
"1,119.39",2018-10-08
,2018-10-07
,2018-10-06
"1,117.01",2018-10-05
"1,105.23",2018-10-04
,2018-10-03
"1,099.79",2018-10-02
"1,099.09",2018-10-01
,2018-09-30
,2018-09-29
"1,101.57",2018-09-28
"1,105.43",2018-09-27
,2018-09-26
,2018-09-25
,2018-09-24
,2018-09-23
,2018-09-22
"1,108.70",2018-09-21
"1,111.77",2018-09-20
"1,115.03",2018-09-19
"1,114.93",2018-09-18
"1,108",2018-09-17
,2018-09-16
,2018-09-15
"1,109.98",2018-09-14
"1,116.02",2018-09-13
"1,115.53",2018-09-12
"1,116.81",2018-09-11
"1,111.86",2018-09-10
,2018-09-09
,2018-09-08
"1,109.98",2018-09-07
"1,106.42",2018-09-06
