,time,096770,010950,009830,020560,003490,004870
1,2019-06-10,162500,85000,21350,6030,32500,2130
2,2019-06-07,160500,81700,21350,6010,32500,2115
3,2019-06-05,161500,81700,21750,6010,32100,2100
4,2019-06-04,163000,82300,21700,6000,31950,2040
5,2019-06-03,164000,82000,21150,5910,31700,2030
6,2019-05-31,165000,83500,20650,6000,31550,2000
7,2019-05-30,165000,82300,20650,6710,31550,2015
8,2019-05-29,162500,81300,20400,5910,31700,2015
9,2019-05-28,161000,81300,21050,5960,31950,2075
10,2019-05-27,164500,81200,20850,5690,31800,2030
11,2019-05-24,165000,81000,21250,5800,31850,2045
12,2019-05-23,169500,82100,21300,5580,30700,2080
13,2019-05-22,167500,83100,21850,5700,30700,2145
14,2019-05-21,168500,84100,21000,5560,31500,2150
15,2019-05-20,165000,83100,20750,5810,31900,2190
16,2019-05-17,168000,84500,21200,5850,32050,2250
17,2019-05-16,168000,83800,21250,5990,32800,2290
18,2019-05-15,170000,85100,21500,5910,33400,2275
19,2019-05-14,166000,82300,20400,5960,33150,2260
20,2019-05-13,167500,82700,20350,5940,32450,2225
21,2019-05-10,170500,85900,21100,5880,32150,2340
22,2019-05-09,169000,87200,20950,6090,32600,2410
23,2019-05-08,176000,89000,20800,6100,32950,2525
24,2019-05-07,177000,89600,20250,6300,33550,2555
25,2019-05-03,180000,90900,20600,6440,33700,2535
26,2019-05-02,183000,91800,20550,6440,33150,2535
27,2019-04-30,182500,92200,20600,6610,33150,2530
28,2019-04-29,187000,92000,21000,6210,33150,2455
29,2019-04-26,186500,92300,20050,6540,33300,2440
30,2019-04-25,188500,93700,20800,6460,33750,2450
31,2019-04-24,193500,96000,20800,6670,34800,2445
32,2019-04-23,193500,94700,21100,7720,34650,2480
33,2019-04-22,190000,93600,21800,8210,35150,2470
34,2019-04-19,191000,93900,21800,8150,35200,2480
35,2019-04-18,190500,94600,21650,7330,35500,2460
36,2019-04-17,192000,95100,22600,7120,35900,2510
37,2019-04-16,192000,94900,22600,8450,35850,2515
38,2019-04-15,193500,96600,22750,7280,37750,2595
39,2019-04-12,185000,92100,22700,5600,35600,2530
40,2019-04-11,185500,92000,22950,4330,33100,2470
41,2019-04-10,184000,92700,23000,3830,32950,2415
42,2019-04-09,185500,93500,23150,3695,32050,2390
43,2019-04-08,185500,95400,22800,3635,32500,2400
44,2019-04-05,185000,92800,22850,3600,31900,2400
45,2019-04-04,183500,92000,22900,3650,31950,2420
46,2019-04-03,184000,92800,22750,3550,32100,2335
47,2019-04-02,182500,90300,22100,3565,31950,2330
48,2019-04-01,181500,90500,21750,3510,32550,2375
49,2019-03-29,179500,89600,20900,3510,31850,2385
50,2019-03-28,186500,90500,20900,3520,31450,2335
51,2019-03-27,188000,91500,21300,3420,33200,2360
52,2019-03-26,187500,92300,20850,3435,32400,2435
53,2019-03-25,191000,93700,21500,4040,32000,2450
54,2019-03-22,195500,96100,22050,4040,32600,2535
55,2019-03-21,195000,97200,22550,4040,32450,2535
56,2019-03-20,195500,96600,22700,4050,33450,2600
57,2019-03-19,195000,97000,23250,4065,33450,2645
58,2019-03-18,193000,96500,23600,4110,34350,2685
59,2019-03-15,192500,96400,23500,4140,33550,2635
60,2019-03-14,190000,94900,23250,4100,32950,2680
61,2019-03-13,186000,92300,23200,4115,32900,2545
62,2019-03-12,190000,92800,23200,4110,33750,2560
63,2019-03-11,188500,92400,22700,4050,33950,2470
64,2019-03-08,192000,96300,22550,4145,34700,2525
65,2019-03-07,190000,102000,22550,4160,35400,2545
66,2019-03-06,192000,105000,23350,4155,35800,2620
67,2019-03-05,188000,102000,23200,4190,35750,2745
68,2019-03-04,183500,100500,23600,4205,36550,2800
69,2019-02-28,188000,100000,23400,4220,36800,2710
70,2019-02-27,188000,102000,23800,4295,36950,2830
71,2019-02-26,181000,99700,23400,4280,36750,2820
72,2019-02-25,184000,100500,23450,4210,36550,2810
73,2019-02-22,184000,102000,23100,4190,36400,2820
74,2019-02-21,188000,102000,23350,4200,36100,2810
75,2019-02-20,192000,104500,23200,4195,36000,2780
76,2019-02-19,188000,107500,21800,4210,35050,2815
77,2019-02-18,186500,109000,21650,4260,35250,2810
78,2019-02-15,182000,105500,21200,4410,36200,2745
79,2019-02-14,183500,105000,21850,4345,36900,2850
80,2019-02-13,184000,104000,22050,4325,35750,2625
81,2019-02-12,183500,101500,21350,4325,35550,2585
82,2019-02-11,185500,103500,21700,4370,35350,2605
83,2019-02-08,183500,102000,21900,4305,35500,2635
84,2019-02-07,185500,104500,22700,4370,35650,2640
85,2019-02-01,186000,104500,22250,4380,35750,2600
86,2019-01-31,188500,104500,22450,4365,36400,2605
87,2019-01-30,185500,103500,22600,4355,36950,2620
88,2019-01-29,185500,103000,21900,4335,35300,2600
89,2019-01-28,181000,99000,22000,4320,35150,2580
90,2019-01-25,185500,99400,21450,4320,34800,2610
91,2019-01-24,179500,97800,21050,4290,36350,2600
92,2019-01-23,180500,98700,21300,4255,36450,2570
93,2019-01-22,181500,100000,21250,4210,36000,2570
94,2019-01-21,181500,99600,21750,4220,36400,2620
95,2019-01-18,183500,98200,21450,4305,36550,2650
96,2019-01-17,182500,98000,21500,4265,36500,2565
97,2019-01-16,178500,96500,21500,4285,35200,2575
98,2019-01-15,180000,96700,21550,4260,34200,2580
99,2019-01-14,178000,98200,21550,4255,33900,2540
100,2019-01-11,179500,98000,21400,4220,33200,2535
101,2019-01-10,181500,96900,20200,4185,33600,2525
102,2019-01-09,180000,94800,20200,4240,34000,2540
103,2019-01-08,177000,93500,19400,4220,33900,2450
104,2019-01-07,174000,96300,19550,4190,33500,2470
105,2019-01-04,169000,92600,19250,4115,32350,2360
106,2019-01-03,166500,91000,19000,4070,31800,2310
107,2019-01-02,169000,91300,19800,4090,32400,2350
108,2018-12-28,179500,97700,20200,4135,33050,2380
109,2018-12-27,179000,101000,19950,4195,33450,2280
110,2018-12-26,182000,103500,19850,4075,32950,2225
111,2018-12-24,181000,102000,20300,4145,33400,2280
112,2018-12-21,182500,104000,20400,4260,34000,2335
113,2018-12-20,180000,104500,20000,4275,34000,2380
114,2018-12-19,178500,105000,20600,4230,33850,2400
115,2018-12-18,177500,106000,20050,4175,33050,2330
116,2018-12-17,182500,107000,20800,4290,32800,2415
117,2018-12-14,184500,110500,20500,4275,32650,2480
118,2018-12-13,182500,109500,20200,4405,32000,2530
119,2018-12-12,184500,109000,20000,4280,31300,2480
120,2018-12-11,181500,105500,19850,4275,31700,2485
121,2018-12-10,184000,106500,19150,4335,31100,2485
122,2018-12-07,187500,108500,19450,4370,31700,2790
123,2018-12-06,191500,109000,19600,4350,31000,2875
124,2018-12-05,199000,112000,18700,4415,31600,2870
125,2018-12-04,199000,113500,19050,4540,31250,2855
126,2018-12-03,203500,115000,19350,4465,31700,2910
127,2018-11-30,196500,110500,18900,4510,31900,3015
128,2018-11-29,196500,106000,19000,4510,33400,2975
129,2018-11-28,196000,105000,18550,4505,32400,3080
130,2018-11-27,197000,106500,18500,4490,32650,3115
131,2018-11-26,197000,105500,18350,4445,32750,3115
132,2018-11-23,200500,109000,17900,4265,32550,2510
133,2018-11-22,205500,110000,18100,4280,32500,2540
134,2018-11-21,203500,110500,18500,4325,33450,2600
135,2018-11-20,204500,113000,17800,4290,32900,2625
136,2018-11-19,203000,111500,17850,4175,32600,2685
137,2018-11-16,197000,111000,17300,4190,33400,2670
138,2018-11-15,196000,110500,16650,4170,32550,2565
139,2018-11-14,193500,107000,17000,4105,32500,2610
140,2018-11-13,200000,113000,16600,3970,29700,2425
141,2018-11-12,198000,111500,17700,3955,29450,2505
142,2018-11-09,200000,115000,17700,3935,30000,2580
143,2018-11-08,203500,120000,17800,4000,30000,2580
