기간,Dubai,Brent,WTI
08년06월09일,130.71,133.91,134.35
08년06월10일,127.66,131.02,131.31
08년06월11일,127.61,135.02,136.38
08년06월12일,130.16,136.09,136.74
08년06월13일,131.03,134.25,134.86
08년06월16일,128.72,134.71,134.61
08년06월17일,129.52,133.72,134.01
08년06월18일,128.40,136.44,136.68
08년06월19일,130.62,132.00,131.93
08년06월20일,127.09,134.86,134.62
08년06월23일,130.07,135.91,136.74
08년06월24일,130.88,136.46,137.00
08년06월25일,130.80,134.33,134.55
08년06월26일,128.41,139.83,139.64
08년06월27일,135.15,140.31,140.21
08년06월30일,136.16,139.83,140.00
08년07월01일,136.56,140.67,140.97
08년07월02일,136.73,144.26,143.57
08년07월03일,140.31,146.08,145.29
08년07월04일,140.70,144.42,-
08년07월07일,138.91,141.87,141.37
08년07월08일,137.51,136.43,136.04
08년07월09일,134.15,136.58,136.05
08년07월10일,132.81,142.03,141.65
08년07월11일,139.03,144.49,145.08
08년07월14일,139.01,143.92,145.18
08년07월15일,140.22,138.75,138.74
08년07월16일,134.05,136.19,134.60
08년07월17일,131.08,131.07,129.29
08년07월18일,128.15,130.19,128.88
08년07월21일,127.70,132.61,131.04
08년07월22일,129.01,129.55,127.95
08년07월23일,123.58,125.29,124.44
08년07월24일,120.99,126.44,125.49
08년07월25일,122.60,124.52,123.26
08년07월28일,121.28,125.84,124.73
08년07월29일,122.53,122.71,122.19
08년07월30일,119.96,127.10,126.77
08년07월31일,123.33,123.98,124.08
08년08월01일,120.40,124.18,125.10
08년08월04일,122.51,120.68,121.41
08년08월05일,117.32,117.70,119.17
08년08월06일,116.11,117.00,118.58
08년08월07일,115.30,117.86,120.02
08년08월08일,114.16,113.33,115.20
08년08월11일,113.21,112.67,114.45
08년08월12일,110.28,111.15,113.01
08년08월13일,109.69,113.47,116.00
08년08월14일,111.90,112.64,115.01
08년08월15일,108.09,112.55,113.77
08년08월18일,109.58,111.94,112.87
08년08월19일,107.93,113.25,114.53
08년08월20일,110.70,114.36,114.98
08년08월21일,112.24,120.16,121.18
08년08월22일,116.74,113.92,114.59
08년08월25일,111.34,114.03,115.11
08년08월26일,110.52,114.63,116.27
08년08월27일,111.52,116.22,118.15
08년08월28일,112.24,114.17,115.59
08년08월29일,111.03,114.05,115.46
08년09월01일,111.64,109.41,-
08년09월02일,101.65,108.34,109.71
08년09월03일,103.27,108.06,109.35
08년09월04일,104.75,106.30,107.89
08년09월05일,101.33,104.09,106.23
08년09월08일,101.83,103.44,106.34
08년09월09일,98.95,100.34,103.26
08년09월10일,97.92,98.97,102.58
08년09월11일,95.62,97.64,100.87
08년09월12일,95.46,97.58,101.18
08년09월15일,92.35,92.38,95.71
08년09월16일,86.56,89.22,91.15
08년09월17일,87.17,94.84,97.16
08년09월18일,88.37,95.19,97.88
08년09월19일,89.88,99.61,104.55
08년09월22일,95.10,106.04,120.92
08년09월23일,96.68,103.08,106.61
08년09월24일,97.11,102.45,105.73
08년09월25일,95.22,104.60,108.02
08년09월26일,95.76,103.54,106.89
08년09월29일,94.11,93.98,96.37
08년09월30일,87.94,98.17,100.64
08년10월01일,-,95.33,98.53
08년10월02일,89.54,90.56,93.97
08년10월03일,85.41,90.25,93.88
08년10월06일,80.25,83.68,87.81
08년10월07일,77.99,84.66,90.06
08년10월08일,74.56,84.36,88.95
08년10월09일,76.54,82.66,86.59
08년10월10일,72.00,74.09,77.70
08년10월13일,70.93,77.46,81.19
08년10월14일,73.75,74.53,78.63
08년10월15일,68.59,70.80,74.54
08년10월16일,61.91,66.32,69.85
08년10월17일,61.31,69.60,71.85
08년10월20일,62.83,72.03,74.25
08년10월21일,63.53,69.72,70.89
08년10월22일,59.81,64.52,66.75
08년10월23일,58.54,65.92,67.84
08년10월24일,56.47,62.05,64.15
08년10월27일,-,61.41,63.22
08년10월28일,54.94,60.29,62.73
08년10월29일,55.42,65.47,67.50
08년10월30일,60.56,63.71,65.96
08년10월31일,55.74,65.32,67.81
08년11월03일,60.44,60.48,63.91
08년11월04일,55.21,66.44,70.53
08년11월05일,59.36,61.87,65.30
08년11월06일,56.21,57.43,60.77
08년11월07일,53.81,57.35,61.04
08년11월10일,55.78,59.08,62.41
08년11월11일,52.78,55.71,59.33
08년11월12일,51.26,52.37,56.16
08년11월13일,47.35,51.99,58.24
08년11월14일,49.51,54.24,57.04
08년11월17일,47.92,52.31,54.95
08년11월18일,46.67,51.84,54.39
08년11월19일,45.89,51.72,53.62
08년11월20일,44.89,48.08,49.62
08년11월21일,42.91,49.19,49.93
08년11월24일,42.82,53.93,54.50
08년11월25일,46.13,50.35,50.77
08년11월26일,44.18,53.92,54.44
08년11월27일,47.24,53.13,-
08년11월28일,47.61,53.49,54.43
08년12월01일,47.39,47.97,49.28
08년12월02일,42.56,45.44,46.96
08년12월03일,41.86,45.44,46.79
08년12월04일,40.92,42.28,43.67
08년12월05일,38.91,39.74,40.81
08년12월08일,-,43.42,43.71
08년12월09일,39.73,41.53,42.07
08년12월10일,39.28,42.40,43.52
08년12월11일,39.68,47.39,47.98
08년12월12일,42.53,46.41,46.28
08년12월15일,43.82,44.60,44.51
08년12월16일,42.55,44.56,43.60
08년12월17일,43.59,45.53,40.06
08년12월18일,42.45,43.36,36.22
08년12월19일,40.46,44.00,33.87
08년12월22일,40.44,41.45,39.91
08년12월23일,37.37,40.36,38.98
08년12월24일,36.88,36.61,35.35
08년12월26일,-,38.37,37.71
08년12월29일,36.84,40.55,40.02
08년12월30일,36.74,40.15,39.03
08년12월31일,36.45,45.59,44.60
09년01월02일,42.88,46.91,46.34
09년01월05일,45.48,49.62,48.81
09년01월06일,48.53,50.53,48.58
09년01월07일,50.25,45.86,42.63
09년01월08일,45.71,44.67,41.70
09년01월09일,45.93,44.42,40.83
09년01월12일,44.29,42.91,37.59
09년01월13일,42.20,44.83,37.78
09년01월14일,44.93,45.08,37.28
09년01월15일,44.18,44.69,35.40
09년01월16일,45.10,46.57,36.51
09년01월19일,43.56,44.50,-
09년01월20일,40.69,43.62,38.74
09년01월21일,40.61,45.02,43.55
09년01월22일,42.15,45.39,43.67
09년01월23일,42.41,48.37,46.47
09년01월26일,-,46.96,45.73
09년01월27일,-,43.73,41.58
09년01월28일,42.59,44.90,42.16
09년01월29일,42.95,45.40,41.44
09년01월30일,43.90,45.88,41.68
09년02월02일,44.80,43.82,40.08
09년02월03일,42.74,44.08,40.78
09년02월04일,42.86,44.15,40.32
09년02월05일,43.42,46.46,41.17
09년02월06일,45.45,46.21,40.17
09년02월09일,45.12,46.02,39.56
09년02월10일,45.56,44.61,37.55
09년02월11일,44.60,44.28,35.94
09년02월12일,44.53,44.65,33.98
09년02월13일,44.36,44.81,37.51
09년02월16일,43.32,43.28,-
09년02월17일,42.75,41.03,34.93
09년02월18일,40.45,39.55,34.62
09년02월19일,40.10,41.99,39.48
09년02월20일,41.38,41.89,38.94
09년02월23일,41.44,40.99,38.44
09년02월24일,40.13,42.50,39.96
09년02월25일,41.39,44.29,42.50
09년02월26일,43.38,46.51,45.22
09년02월27일,44.05,46.35,44.76
09년03월02일,43.66,42.21,40.15
09년03월03일,41.24,43.70,41.65
09년03월04일,41.93,46.12,45.38
09년03월05일,43.98,43.64,43.61
09년03월06일,43.04,44.85,45.52
09년03월09일,43.71,44.13,47.07
09년03월10일,43.12,43.96,45.71
09년03월11일,43.10,41.40,42.33
09년03월12일,41.46,45.09,47.03
09년03월13일,44.03,44.93,46.25
09년03월16일,42.07,43.98,47.35
09년03월17일,43.77,48.24,49.16
09년03월18일,46.04,47.66,48.14
09년03월19일,46.62,50.67,51.61
09년03월20일,48.62,51.22,51.06
09년03월23일,49.61,53.47,53.80
09년03월24일,50.22,53.50,53.98
09년03월25일,50.16,51.75,52.77
09년03월26일,50.42,53.46,54.34
09년03월27일,50.87,51.98,52.38
09년03월30일,48.31,47.99,48.41
09년03월31일,46.80,49.23,49.66
09년04월01일,47.01,48.44,48.39
09년04월02일,48.24,52.75,52.64
09년04월03일,50.75,53.47,52.51
09년04월06일,52.58,52.24,51.05
09년04월07일,51.20,51.22,49.15
09년04월08일,49.17,51.59,49.38
09년04월09일,51.99,54.06,52.24
09년04월13일,52.15,52.14,50.05
09년04월14일,51.02,51.96,49.41
09년04월15일,51.46,51.79,49.25
09년04월16일,51.61,53.06,49.98
09년04월17일,51.16,53.35,50.33
09년04월20일,50.98,49.86,45.88
09년04월21일,48.58,49.82,46.51
09년04월22일,48.61,49.81,48.85
09년04월23일,48.25,50.11,49.62
09년04월24일,48.94,51.67,51.55
09년04월27일,48.72,50.32,50.14
09년04월28일,48.02,49.99,49.92
09년04월29일,49.20,50.78,50.97
09년04월30일,50.06,50.80,51.12
09년05월01일,-,52.85,53.20
09년05월04일,52.62,54.58,54.47
09년05월05일,53.32,54.12,53.84
09년05월06일,53.97,56.15,56.34
09년05월07일,56.86,56.47,56.71
09년05월08일,56.76,58.14,58.63
09년05월11일,56.75,57.48,58.50
09년05월12일,57.37,57.94,58.85
09년05월13일,58.09,57.34,58.02
09년05월14일,56.52,56.69,58.62
09년05월15일,57.87,55.98,56.34
09년05월18일,58.09,58.47,59.03
09년05월19일,58.70,58.92,59.65
09년05월20일,58.59,60.59,62.04
09년05월21일,59.23,59.93,61.05
09년05월22일,59.51,60.78,61.67
09년05월25일,59.15,60.21,-
09년05월26일,58.28,61.24,62.45
09년05월27일,61.05,62.50,63.45
09년05월28일,61.23,64.39,65.08
09년05월29일,63.86,65.52,66.31
09년06월01일,66.28,67.97,68.58
09년06월02일,66.46,68.17,68.55
09년06월03일,67.72,65.88,66.12
09년06월04일,66.83,68.71,68.81
09년06월05일,69.08,68.34,68.44
09년06월08일,67.32,67.88,68.09
09년06월09일,69.24,69.62,70.01
09년06월10일,70.95,70.80,71.33
09년06월11일,71.19,71.79,72.68
09년06월12일,71.48,70.92,72.04
09년06월15일,70.73,69.44,70.62
09년06월16일,70.10,70.24,70.47
09년06월17일,70.18,70.85,71.03
09년06월18일,71.01,71.06,71.37
09년06월19일,71.36,69.19,69.55
09년06월22일,69.33,66.98,66.93
09년06월23일,66.58,68.80,69.24
09년06월24일,68.86,68.33,68.67
09년06월25일,69.07,69.78,70.23
09년06월26일,70.80,68.92,69.16
